GeoID_Name,GeoID,GEOID_f,cpop,cpopwh,rpopwh,ppopwh
NONE,0,NONE,0,0,0,0
Alameda,6001,06001,1682353,523836,0.311371038,31.13710381
Alpine,6003,06003,1204,814,0.676079734,67.60797342
Amador,6005,06005,40474,31104,0.768493354,76.84933538
Butte,6007,06007,211632,149557,0.706684244,70.66842443
Calaveras,6009,06009,45292,36315,0.801797227,80.17972269
Colusa,6011,06011,21839,9364,0.428774211,42.87742113
Contra Costa,6013,06013,1165927,501697,0.430298809,43.02988094
Del Norte,6015,06015,27743,17193,0.619723894,61.97238943
El Dorado,6017,06017,191185,146624,0.766922091,76.69220912
Fresno,6019,06019,1008654,374678,0.371463356,37.14633561
Glenn,6021,06021,28917,15753,0.544766055,54.47660546
Humboldt,6023,06023,136463,98095,0.718839539,71.88395389
Imperial,6025,06025,179702,47537,0.264532393,26.45323925
Inyo,6027,06027,19016,11752,0.61800589,61.80058898
Kern,6029,06029,909235,371734,0.408842598,40.88425984
Kings,6031,06031,152486,61226,0.401518828,40.1518828
Lake,6033,06033,68163,46858,0.6874404,68.74404002
Lassen,6035,06035,32730,21066,0.643629698,64.36296975
Los Angeles,6037,06037,10014009,3259427,0.325486726,32.54867256
Madera,6039,06039,156255,65248,0.417573838,41.75738376
Marin,6041,06041,262321,179377,0.683807244,68.38072438
Mariposa,6043,06043,17131,13385,0.781332088,78.1332088
Mendocino,6045,06045,91601,59510,0.649665397,64.96653967
Merced,6047,06047,281202,104534,0.371739888,37.17398881
Modoc,6049,06049,8700,6772,0.778390805,77.83908046
Mono,6051,06051,13195,9349,0.708525957,70.85259568
Monterey,6053,06053,439035,158879,0.36188231,36.18823101
Napa,6055,06055,138019,76158,0.551793594,55.17935936
Nevada,6057,06057,102241,85604,0.837276631,83.72766307
Orange,6059,06059,3186989,1383257,0.434032562,43.40325618
Placer,6061,06061,404739,288586,0.713017525,71.30175249
Plumas,6063,06063,19790,16608,0.839211723,83.92117231
Riverside,6065,06065,2418185,995627,0.411724909,41.17249094
Sacramento,6067,06067,1585055,715722,0.451543953,45.15439527
San Benito,6069,06069,64209,27230,0.424083851,42.40838512
San Bernardino,6071,06071,2181654,782691,0.358760372,35.87603717
San Diego,6073,06073,3298634,1633129,0.495092514,49.50925141
San Francisco,6075,06075,873965,361382,0.413497108,41.3497108
San Joaquin,6077,06077,779233,267339,0.343079669,34.30796694
San Luis Obispo,6079,06079,282424,198338,0.702270345,70.22703453
San Mateo,6081,06081,764442,300188,0.392689046,39.26890464
Santa Barbara,6083,06083,448229,224748,0.50141334,50.14133401
Santa Clara,6085,06085,1936259,622617,0.321556672,32.15566719
Santa Cruz,6087,06087,270861,160565,0.592794828,59.27948283
Shasta,6089,06089,182155,142899,0.78449123,78.449123
Sierra,6091,06091,3236,2703,0.835290482,83.52904821
Siskiyou,6093,06093,44076,33597,0.762251565,76.22515655
Solano,6095,06095,453491,175768,0.387588728,38.75887283
Sonoma,6097,06097,488863,306684,0.627341402,62.73414024
Stanislaus,6099,06099,552878,256602,0.464120475,46.4120475
Sutter,6101,06101,99633,46810,0.469824255,46.9824255
Tehama,6103,06103,65829,44926,0.682465175,68.24651749
Trinity,6105,06105,16112,11627,0.721636048,72.16360477
Tulare,6107,06107,473117,186255,0.393676406,39.36764056
Tuolumne,6109,06109,55620,44207,0.794804027,79.48040273
Ventura,6111,06111,843843,428677,0.508005636,50.80056361
Yolo,6113,06113,216403,107304,0.495852645,49.58526453
Yuba,6115,06115,81575,46590,0.571130861,57.11308612
